Heuristic,Puzzle,Depth,Explored Nodes,Max Fringe Size,Elapsed Time,Expanded Nodes
misplaced,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,47,15,0.0007791999996697996,16
euclidean,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,36,12,0.0007535000004281756,12
manhattan,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,33,11,0.0007495999998354819,11
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 6 | 4 | 5 |
-------------
| 7 | 3 | 8 |
-------------",7,35,11,0.000931700000364799,12
misplaced,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,89,29,0.0018667000003915746,30
euclidean,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,51,17,0.0009921999990183394,17
manhattan,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,44,14,0.0007970000006025657,15
out_of_position,"-------------
| 1 |   | 4 |
-------------
| 7 | 5 | 2 |
-------------
| 3 | 6 | 8 |
-------------",9,48,14,0.0008389999966311734,17
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00020869999934802763,6
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.0005694999999832362,6
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.00048009999954956584,6
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 6 | 3 | 5 |
-------------
| 7 |   | 8 |
-------------",5,19,7,0.0005000999990443233,6
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0001993000005313661,3
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.00032619999910821207,3
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0002010000025620684,3
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0002710999979171902,3
misplaced,"-------------
| 7 | 3 | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 |   | 8 |
-------------",11,245,63,0.013887800003431039,91
euclidean,"-------------
| 7 | 3 | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 |   | 8 |
-------------",11,119,35,0.00433809999958612,42
manhattan,"-------------
| 7 | 3 | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 |   | 8 |
-------------",11,95,27,0.0023094999996828847,34
out_of_position,"-------------
| 7 | 3 | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 |   | 8 |
-------------",11,120,30,0.0032986000005621463,45
misplaced,"-------------
| 2 |   | 5 |
-------------
| 1 | 3 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,46,14,0.0006920000014360994,16
euclidean,"-------------
| 2 |   | 5 |
-------------
| 1 | 3 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,22,8,0.0004070000031788368,7
