Heuristic,Puzzle,Depth,Explored Nodes,Max Fringe Size,Elapsed Time,Expanded Nodes
manhattan,"-------------
| 3 | 2 | 5 |
-------------
|   | 6 | 1 |
-------------
| 7 | 4 | 8 |
-------------",9,52,16,0.001159799998276867,18
out_of_position,"-------------
| 3 | 2 | 5 |
-------------
|   | 6 | 1 |
-------------
| 7 | 4 | 8 |
-------------",9,49,15,0.000858300001709722,17
misplaced,"-------------
| 6 | 1 | 4 |
-------------
| 8 | 3 | 2 |
-------------
| 5 |   | 7 |
-------------",17,2236,518,0.7805004000001645,859
euclidean,"-------------
| 6 | 1 | 4 |
-------------
| 8 | 3 | 2 |
-------------
| 5 |   | 7 |
-------------",17,653,155,0.07403139999951236,249
manhattan,"-------------
| 6 | 1 | 4 |
-------------
| 8 | 3 | 2 |
-------------
| 5 |   | 7 |
-------------",17,566,134,0.06722960000115563,216
out_of_position,"-------------
| 6 | 1 | 4 |
-------------
| 8 | 3 | 2 |
-------------
| 5 |   | 7 |
-------------",17,919,199,0.20336649999808287,360
misplaced,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.00033489999987068586,9
euclidean,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0006960000027902424,5
manhattan,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0002700000004551839,5
out_of_position,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00034299999970244244,5
misplaced,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.0005485000001499429,9
euclidean,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0002739000010478776,5
manhattan,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0003161000022373628,5
out_of_position,"-------------
| 4 | 3 | 2 |
-------------
|   | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00023559999681310728,5
misplaced,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,390,102,0.03067190000001574,144
euclidean,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,69,21,0.0019366000014997553,24
manhattan,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,74,22,0.0023795000015525147,26
out_of_position,"-------------
| 2 |   | 5 |
-------------
| 4 | 3 | 8 |
-------------
| 1 | 6 | 7 |
-------------",13,124,32,0.004022000000986736,46
misplaced,"-------------
| 4 | 3 | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 |   | 8 |
-------------",7,47,15,0.0006485999983851798,16
euclidean,"-------------
| 4 | 3 | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 |   | 8 |
-------------",7,22,8,0.0003892999993695412,7
manhattan,"-------------
| 4 | 3 | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 |   | 8 |
-------------",7,22,8,0.00037030000021331944,7
out_of_position,"-------------
| 4 | 3 | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 |   | 8 |
-------------",7,22,8,0.000572900000406662,7
misplaced,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,14,6,0.00030900000274414197,4
euclidean,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.0003598000002966728,3
manhattan,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.00019809999866993167,3
out_of_position,"-------------
| 3 |   | 2 |
-------------
| 4 | 1 | 5 |
-------------
| 6 | 7 | 8 |
-------------",3,12,6,0.000163800003065262,3
misplaced,"-------------
| 2 | 4 | 5 |
-------------
| 1 | 8 |   |
-------------
| 3 | 6 | 7 |
-------------",11,161,41,0.00576809999984107,60
euclidean,"-------------
| 2 | 4 | 5 |
-------------
| 1 | 8 |   |
-------------
| 3 | 6 | 7 |
-------------",11,68,16,0.001592499997059349,26
manhattan,"-------------
| 2 | 4 | 5 |
-------------
| 1 | 8 |   |
-------------
| 3 | 6 | 7 |
-------------",11,83,23,0.0023898999970697332,30
out_of_position,"-------------
| 2 | 4 | 5 |
-------------
| 1 | 8 |   |
-------------
| 3 | 6 | 7 |
-------------",11,72,18,0.0015093000001797918,27
misplaced,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.00014209999790182337,1
euclidean,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,8.81000014487654e-05,1
manhattan,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,9.259999933419749e-05,1
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,6.740000026184134e-05,1
misplaced,"-------------
| 4 |   | 5 |
-------------
| 1 | 2 | 3 |
-------------
| 6 | 7 | 8 |
-------------",9,102,28,0.00316229999953066,37
euclidean,"-------------
| 4 |   | 5 |
-------------
| 1 | 2 | 3 |
-------------
| 6 | 7 | 8 |
-------------",9,39,13,0.0007006999985605944,13
manhattan,"-------------
| 4 |   | 5 |
-------------
| 1 | 2 | 3 |
-------------
| 6 | 7 | 8 |
-------------",9,39,13,0.000627500001428416,13
out_of_position,"-------------
| 4 |   | 5 |
-------------
| 1 | 2 | 3 |
-------------
| 6 | 7 | 8 |
-------------",9,62,18,0.0018341000031796284,22
misplaced,"-------------
| 3 |   | 2 |
-------------
| 5 | 1 | 8 |
-------------
| 6 | 7 | 4 |
-------------",11,205,53,0.007046099999570288,76
euclidean,"-------------
| 3 |   | 2 |
-------------
| 5 | 1 | 8 |
-------------
| 6 | 7 | 4 |
-------------",11,146,40,0.004735800001071766,53
manhattan,"-------------
| 3 |   | 2 |
-------------
| 5 | 1 | 8 |
-------------
| 6 | 7 | 4 |
-------------",11,156,44,0.00955469999826164,56
out_of_position,"-------------
| 3 |   | 2 |
-------------
| 5 | 1 | 8 |
-------------
| 6 | 7 | 4 |
-------------",11,139,37,0.005204799999773968,51
misplaced,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 2 |   |
-------------
| 6 | 7 | 8 |
-------------",7,50,14,0.0007077000009303447,18
euclidean,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 2 |   |
-------------
| 6 | 7 | 8 |
-------------",7,38,12,0.0006521000032080337,13
manhattan,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 2 |   |
-------------
| 6 | 7 | 8 |
-------------",7,47,15,0.0013328000022738706,16
out_of_position,"-------------
| 1 | 5 | 4 |
-------------
| 3 | 2 |   |
-------------
| 6 | 7 | 8 |
-------------",7,37,11,0.0006117999982961919,13
misplaced,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,4.470000203582458e-05,1
euclidean,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.00011040000026696362,1
manhattan,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,0.00016250000044237822,1
out_of_position,"-------------
| 1 |   | 2 |
-------------
| 3 | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,7.609999738633633e-05,1
misplaced,"-------------
| 1 | 5 | 4 |
-------------
| 7 | 2 |   |
-------------
| 3 | 6 | 8 |
-------------",11,188,50,0.006081299998186296,69
euclidean,"-------------
| 1 | 5 | 4 |
-------------
| 7 | 2 |   |
-------------
| 3 | 6 | 8 |
-------------",11,109,31,0.0035050999977102038,39
manhattan,"-------------
| 1 | 5 | 4 |
-------------
| 7 | 2 |   |
-------------
| 3 | 6 | 8 |
-------------",11,103,29,0.002549400000134483,37
out_of_position,"-------------
| 1 | 5 | 4 |
-------------
| 7 | 2 |   |
-------------
| 3 | 6 | 8 |
-------------",11,111,27,0.0028635000016947743,42
